AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,bug
1.0,1.0,1.0,1.0,6.0,1.0,5.0,0.0,75.0,20.0,55.0,36.0,9.0,0.0,35.0,45.0,36.0,9.0,1.0,1.0,1.0,0.0,9.0,9.0,9.0,9.0,0
1.0,1.0,1.0,1.0,10.0,0.0,10.0,1.0,176.0,17.0,130.0,18.0,91.0,49.0,85.0,104.0,18.0,86.0,4.0,4.0,4.0,0.38,20.0,20.0,20.0,12.0,0
2.0,2.0,3.0,1.0,12.0,1.0,11.0,0.0,45.0,9.0,36.0,12.0,16.0,0.0,27.0,30.0,14.0,16.0,5.0,5.0,7.0,0.0,7.0,7.0,9.0,3.0,1
1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,17.0,4.0,13.0,6.0,4.0,0.0,6.0,9.0,5.0,4.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,0
1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,22.0,0.0,22.0,9.0,7.0,0.0,10.0,15.0,8.0,7.0,1.0,1.0,1.0,0.0,5.0,5.0,5.0,5.0,0
2.0,2.0,2.0,1.0,9.0,0.0,9.0,0.0,14.0,1.0,13.0,4.0,6.0,0.0,6.0,8.0,3.0,5.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,0
1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,16.0,4.0,12.0,6.0,3.0,0.0,5.0,7.0,4.0,3.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0
3.0,3.0,3.0,1.0,16.0,0.0,15.0,0.0,136.0,11.0,123.0,41.0,61.0,2.0,76.0,93.0,38.0,55.0,5.0,5.0,5.0,0.02,19.0,19.0,19.0,6.0,0
1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,41.0,9.0,32.0,13.0,10.0,0.0,10.0,19.0,10.0,9.0,2.0,2.0,2.0,0.0,8.0,8.0,8.0,7.0,1
1.0,1.0,1.0,1.0,12.0,0.0,12.0,0.0,60.0,6.0,54.0,17.0,29.0,0.0,36.0,43.0,16.0,27.0,4.0,4.0,4.0,0.0,7.0,7.0,7.0,7.0,0
1.0,1.0,1.0,1.0,10.0,0.0,10.0,0.0,28.0,3.0,22.0,10.0,7.0,3.0,12.0,15.0,8.0,7.0,1.0,1.0,1.0,0.14,1.0,1.0,1.0,1.0,0
3.0,3.0,4.0,2.0,15.0,0.0,12.0,3.0,119.0,10.0,64.0,18.0,28.0,46.0,30.0,45.0,19.0,26.0,5.0,5.0,8.0,0.72,17.0,17.0,21.0,12.0,0
22.0,14.0,23.0,6.0,101.0,8.0,85.0,8.0,440.0,35.0,382.0,165.0,175.0,46.0,149.0,187.0,60.0,127.0,52.0,27.0,54.0,0.12,67.0,42.0,69.0,18.0,1
2.0,2.0,2.0,1.0,7.0,0.0,7.0,0.0,27.0,3.0,17.0,7.0,5.0,7.0,9.0,12.0,7.0,5.0,3.0,3.0,4.0,0.41,4.0,4.0,5.0,2.0,0
1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,47.0,11.0,36.0,15.0,13.0,0.0,14.0,21.0,10.0,11.0,3.0,3.0,3.0,0.0,9.0,9.0,9.0,7.0,0
1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,43.0,5.0,38.0,16.0,15.0,0.0,12.0,18.0,8.0,10.0,3.0,2.0,3.0,0.0,7.0,6.0,7.0,5.0,1
1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,6.0,0.0,6.0,2.0,2.0,0.0,3.0,5.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0
4.0,4.0,4.0,4.0,13.0,1.0,12.0,0.0,31.0,5.0,26.0,6.0,16.0,0.0,10.0,19.0,4.0,15.0,7.0,7.0,7.0,0.0,8.0,8.0,8.0,8.0,0
2.0,2.0,3.0,1.0,8.0,0.0,8.0,0.0,193.0,17.0,125.0,35.0,56.0,51.0,72.0,96.0,41.0,55.0,6.0,6.0,9.0,0.41,33.0,33.0,42.0,21.0,0
1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,11.0,3.0,8.0,3.0,2.0,0.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0
1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,168.0,29.0,47.0,35.0,0.0,92.0,23.0,29.0,29.0,0.0,1.0,1.0,1.0,1.96,1.0,1.0,1.0,1.0,1
3.0,3.0,3.0,1.0,22.0,0.0,18.0,3.0,100.0,5.0,78.0,25.0,40.0,18.0,45.0,58.0,25.0,33.0,5.0,5.0,6.0,0.23,12.0,12.0,13.0,4.0,0
1.0,1.0,1.0,1.0,7.0,1.0,6.0,0.0,29.0,7.0,21.0,10.0,6.0,1.0,10.0,15.0,10.0,5.0,2.0,2.0,2.0,0.05,4.0,4.0,4.0,3.0,0
1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,31.0,8.0,23.0,9.0,7.0,0.0,9.0,14.0,7.0,7.0,1.0,1.0,1.0,0.0,6.0,6.0,6.0,6.0,0
1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,37.0,7.0,30.0,13.0,11.0,0.0,16.0,22.0,12.0,10.0,2.0,2.0,2.0,0.0,6.0,6.0,6.0,5.0,0
2.0,2.0,2.0,1.0,15.0,1.0,13.0,0.0,291.0,28.0,237.0,73.0,125.0,28.0,137.0,175.0,66.0,109.0,5.0,5.0,6.0,0.12,20.0,20.0,23.0,8.0,0
2.0,2.0,3.0,1.0,15.0,0.0,14.0,0.0,237.0,21.0,213.0,48.0,123.0,4.0,122.0,161.0,51.0,110.0,9.0,9.0,11.0,0.02,39.0,39.0,46.0,18.0,1
1.0,1.0,1.0,1.0,9.0,0.0,8.0,0.0,84.0,11.0,70.0,27.0,29.0,3.0,30.0,43.0,19.0,24.0,3.0,3.0,4.0,0.04,11.0,11.0,12.0,7.0,1
1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,47.0,6.0,41.0,17.0,17.0,0.0,14.0,20.0,7.0,13.0,5.0,2.0,5.0,0.0,9.0,6.0,9.0,5.0,1
2.0,2.0,2.0,1.0,14.0,0.0,13.0,0.0,271.0,31.0,233.0,74.0,122.0,7.0,140.0,179.0,69.0,110.0,4.0,4.0,7.0,0.03,33.0,33.0,40.0,26.0,1
1.0,1.0,1.0,1.0,12.0,0.0,12.0,2.0,44.0,5.0,38.0,13.0,21.0,9.0,27.0,31.0,10.0,21.0,1.0,1.0,1.0,0.24,3.0,3.0,3.0,3.0,1
1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,19.0,3.0,7.0,5.0,0.0,9.0,3.0,4.0,4.0,0.0,1.0,1.0,1.0,1.29,1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,161.0,24.0,136.0,43.0,72.0,1.0,78.0,97.0,37.0,60.0,2.0,2.0,14.0,0.01,20.0,20.0,32.0,19.0,0
5.0,5.0,7.0,4.0,31.0,1.0,28.0,1.0,178.0,13.0,116.0,38.0,59.0,49.0,60.0,78.0,32.0,46.0,10.0,10.0,13.0,0.42,21.0,21.0,28.0,18.0,1
7.0,3.0,7.0,7.0,27.0,0.0,27.0,6.0,29.0,1.0,28.0,1.0,22.0,6.0,14.0,18.0,2.0,16.0,7.0,3.0,7.0,0.21,7.0,3.0,7.0,7.0,0
1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,43.0,9.0,34.0,16.0,10.0,0.0,15.0,22.0,12.0,10.0,1.0,1.0,1.0,0.0,7.0,7.0,7.0,7.0,0
9.0,8.0,9.0,7.0,35.0,1.0,31.0,6.0,428.0,28.0,343.0,69.0,225.0,92.0,174.0,243.0,56.0,187.0,20.0,20.0,20.0,0.27,90.0,80.0,92.0,72.0,1
2.0,2.0,2.0,2.0,18.0,0.0,18.0,0.0,46.0,4.0,42.0,17.0,20.0,0.0,27.0,32.0,13.0,19.0,4.0,4.0,4.0,0.0,5.0,5.0,5.0,5.0,0
1.0,1.0,1.0,1.0,11.0,1.0,10.0,0.0,46.0,8.0,37.0,20.0,13.0,1.0,18.0,22.0,11.0,11.0,2.0,2.0,2.0,0.03,3.0,3.0,3.0,2.0,1
1.0,1.0,1.0,1.0,7.0,1.0,6.0,0.0,21.0,5.0,15.0,7.0,5.0,2.0,9.0,11.0,6.0,5.0,1.0,1.0,1.0,0.13,2.0,2.0,2.0,2.0,0
1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,28.0,6.0,22.0,8.0,8.0,0.0,10.0,13.0,5.0,8.0,1.0,1.0,1.0,0.0,5.0,5.0,5.0,5.0,0
1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,14.0,3.0,11.0,4.0,3.0,0.0,3.0,6.0,3.0,3.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,0
1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,31.0,5.0,26.0,9.0,11.0,0.0,14.0,18.0,7.0,11.0,1.0,1.0,1.0,0.0,5.0,5.0,5.0,5.0,0
1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,38.0,9.0,29.0,13.0,8.0,0.0,13.0,20.0,12.0,8.0,1.0,1.0,1.0,0.0,7.0,7.0,7.0,7.0,0
1.0,1.0,1.0,1.0,10.0,0.0,10.0,0.0,70.0,6.0,64.0,16.0,42.0,0.0,16.0,23.0,10.0,13.0,1.0,1.0,1.0,0.0,6.0,6.0,6.0,6.0,1
2.0,2.0,2.0,1.0,12.0,0.0,11.0,1.0,14.0,1.0,12.0,2.0,8.0,1.0,6.0,9.0,2.0,7.0,2.0,2.0,2.0,0.08,2.0,2.0,2.0,1.0,0
1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,13.0,4.0,9.0,4.0,2.0,0.0,3.0,5.0,3.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0
2.0,2.0,2.0,1.0,11.0,1.0,10.0,0.0,118.0,18.0,93.0,45.0,31.0,9.0,51.0,63.0,33.0,30.0,5.0,5.0,8.0,0.1,16.0,16.0,20.0,8.0,1
1.0,1.0,1.0,1.0,7.0,0.0,5.0,0.0,138.0,24.0,87.0,33.0,36.0,27.0,36.0,53.0,24.0,29.0,1.0,1.0,1.0,0.31,13.0,13.0,13.0,13.0,0
