AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,bug
1.0,1.0,1.0,1.0,7.0,0.0,6.0,1.0,17.0,2.0,13.0,9.0,2.0,2.0,6.0,9.0,7.0,2.0,1.0,1.0,1.0,0.15,2.0,2.0,2.0,2.0,1
1.0,1.0,1.0,1.0,6.0,1.0,5.0,0.0,75.0,20.0,55.0,36.0,9.0,0.0,35.0,45.0,36.0,9.0,1.0,1.0,1.0,0.0,9.0,9.0,9.0,9.0,0
3.0,3.0,4.0,2.0,21.0,3.0,16.0,1.0,73.0,15.0,51.0,21.0,18.0,7.0,28.0,38.0,21.0,17.0,6.0,6.0,8.0,0.14,11.0,11.0,13.0,6.0,0
3.0,3.0,3.0,1.0,20.0,3.0,16.0,0.0,51.0,11.0,39.0,15.0,16.0,6.0,21.0,27.0,12.0,15.0,5.0,5.0,5.0,0.15,7.0,7.0,7.0,2.0,0
3.0,3.0,3.0,1.0,17.0,3.0,14.0,0.0,47.0,11.0,35.0,13.0,15.0,6.0,18.0,23.0,10.0,13.0,4.0,4.0,4.0,0.17,6.0,6.0,6.0,2.0,0
3.0,3.0,3.0,1.0,20.0,1.0,17.0,2.0,43.0,4.0,36.0,13.0,16.0,4.0,22.0,27.0,12.0,15.0,5.0,5.0,5.0,0.11,7.0,7.0,7.0,2.0,0
1.0,1.0,1.0,1.0,7.0,0.0,7.0,0.0,39.0,6.0,25.0,11.0,9.0,8.0,12.0,17.0,10.0,7.0,2.0,2.0,3.0,0.32,4.0,4.0,5.0,3.0,0
1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,7.0,0.0,7.0,4.0,1.0,0.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,10.0,0.0,10.0,5.0,2.0,0.0,5.0,7.0,5.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0
13.0,13.0,27.0,4.0,71.0,4.0,50.0,16.0,164.0,12.0,112.0,27.0,59.0,40.0,46.0,71.0,24.0,47.0,25.0,25.0,54.0,0.36,26.0,26.0,55.0,9.0,0
2.0,2.0,2.0,1.0,7.0,0.0,6.0,0.0,222.0,22.0,139.0,35.0,63.0,63.0,75.0,105.0,43.0,62.0,7.0,7.0,8.0,0.45,41.0,41.0,43.0,24.0,0
2.0,2.0,2.0,1.0,9.0,0.0,9.0,0.0,14.0,1.0,13.0,4.0,6.0,0.0,6.0,8.0,3.0,5.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,0
2.0,2.0,2.0,1.0,12.0,0.0,10.0,1.0,113.0,13.0,65.0,26.0,23.0,35.0,44.0,52.0,30.0,22.0,4.0,4.0,4.0,0.54,15.0,15.0,15.0,6.0,1
1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,16.0,4.0,12.0,6.0,3.0,0.0,5.0,7.0,4.0,3.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0
7.0,7.0,7.0,4.0,37.0,2.0,32.0,2.0,461.0,41.0,383.0,114.0,198.0,39.0,220.0,287.0,108.0,179.0,29.0,29.0,29.0,0.1,77.0,77.0,85.0,44.0,0
3.0,3.0,4.0,2.0,19.0,1.0,16.0,2.0,520.0,48.0,375.0,111.0,187.0,105.0,210.0,277.0,109.0,168.0,11.0,11.0,11.0,0.28,83.0,83.0,91.0,54.0,0
2.0,2.0,2.0,1.0,12.0,0.0,11.0,0.0,121.0,16.0,90.0,24.0,51.0,15.0,57.0,67.0,22.0,45.0,6.0,4.0,6.0,0.17,18.0,14.0,19.0,10.0,1
1.0,1.0,1.0,1.0,12.0,0.0,12.0,0.0,60.0,6.0,54.0,17.0,29.0,0.0,36.0,43.0,16.0,27.0,4.0,4.0,4.0,0.0,7.0,7.0,7.0,7.0,0
1.0,1.0,1.0,1.0,10.0,0.0,10.0,0.0,28.0,3.0,22.0,10.0,7.0,3.0,12.0,15.0,8.0,7.0,1.0,1.0,1.0,0.14,1.0,1.0,1.0,1.0,0
3.0,3.0,5.0,2.0,19.0,1.0,16.0,1.0,125.0,17.0,85.0,26.0,39.0,23.0,46.0,64.0,27.0,37.0,12.0,12.0,17.0,0.27,19.0,19.0,25.0,11.0,1
1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,18.0,3.0,15.0,7.0,5.0,0.0,8.0,11.0,6.0,5.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0
2.0,2.0,3.0,1.0,8.0,0.0,8.0,0.0,193.0,17.0,125.0,35.0,56.0,51.0,72.0,96.0,41.0,55.0,6.0,6.0,9.0,0.41,33.0,33.0,42.0,21.0,0
1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,11.0,3.0,8.0,3.0,2.0,0.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0
4.0,4.0,4.0,1.0,17.0,0.0,16.0,0.0,146.0,12.0,119.0,38.0,52.0,15.0,74.0,93.0,43.0,50.0,10.0,10.0,10.0,0.13,28.0,28.0,29.0,7.0,1
3.0,3.0,5.0,1.0,14.0,0.0,12.0,1.0,132.0,13.0,80.0,26.0,34.0,39.0,33.0,51.0,18.0,33.0,10.0,10.0,22.0,0.49,19.0,19.0,31.0,8.0,1
3.0,3.0,3.0,1.0,16.0,1.0,13.0,1.0,252.0,38.0,174.0,48.0,88.0,41.0,89.0,129.0,49.0,80.0,14.0,14.0,16.0,0.24,38.0,38.0,42.0,18.0,1
1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,168.0,29.0,47.0,35.0,0.0,92.0,23.0,29.0,29.0,0.0,1.0,1.0,1.0,1.96,1.0,1.0,1.0,1.0,1
3.0,3.0,3.0,1.0,22.0,0.0,18.0,3.0,100.0,5.0,78.0,25.0,40.0,18.0,45.0,58.0,25.0,33.0,5.0,5.0,6.0,0.23,12.0,12.0,13.0,4.0,0
1.0,1.0,1.0,1.0,11.0,3.0,8.0,0.0,28.0,9.0,18.0,12.0,3.0,1.0,12.0,15.0,12.0,3.0,1.0,1.0,1.0,0.06,2.0,2.0,2.0,2.0,0
