wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
1.098612,0.693147,0.0,2.197225,1.098612,0.693147,2.079442,0.693147,1.098612,1.098612,1.098612,0.0,0.0,0.0,0.510826,0.0,0.0,0.0,0.693147,0.693147,0
1.94591,0.693147,1.386294,1.94591,2.079442,2.079442,1.386294,1.386294,1.94591,0.530628,3.367296,0.693147,0.693147,0.0,0.367724,0.0,0.0,1.466337,0.693147,0.606118,0
1.098612,1.098612,0.0,1.386294,1.94591,0.693147,0.693147,1.098612,1.098612,1.098612,3.89182,0.0,0.0,0.606136,0.510826,0.0,0.0,3.178054,1.94591,1.386294,0
2.484907,0.693147,0.0,2.079442,3.295837,3.401197,1.609438,1.386294,2.484907,0.262364,4.787492,0.693147,1.098612,0.0,0.241162,0.693147,0.693147,2.364279,1.609438,0.78015,0
1.94591,0.693147,0.0,3.332205,2.639057,0.0,3.332205,0.0,1.94591,0.182322,4.477337,0.693147,0.0,0.0,0.367724,0.693147,0.693147,2.650892,1.609438,0.847284,1
2.397895,0.693147,0.0,1.098612,2.564949,3.258097,0.693147,0.693147,2.397895,0.590869,3.988984,0.693147,0.0,0.0,0.530628,0.0,0.0,1.589235,0.693147,0.641854,0
2.995732,0.693147,0.0,1.94591,3.258097,4.912655,1.609438,1.098612,2.564949,0.664976,5.123964,0.446287,1.098612,0.0,0.228393,0.0,0.0,2.072841,1.609438,0.693147,0
1.94591,0.693147,0.0,2.995732,4.406719,2.772589,1.386294,2.890372,1.791759,1.098612,6.52503,0.0,0.0,0.0,0.251314,0.0,0.0,4.731803,2.995732,1.67397,1
2.079442,1.609438,0.0,2.079442,3.295837,0.0,0.0,2.079442,2.079442,0.476924,4.934474,0.693147,0.0,0.637058,0.305382,0.0,0.0,2.959365,0.693147,0.619016,0
1.098612,0.693147,0.0,1.791759,3.135494,0.693147,1.098612,1.386294,1.098612,1.098612,4.934474,0.0,0.0,0.0,0.405465,0.0,0.0,4.234107,0.693147,0.405465,1
1.94591,0.693147,0.0,1.098612,2.484907,0.0,0.693147,0.693147,1.94591,0.0,3.496508,0.693147,0.0,0.0,0.459532,0.0,0.0,1.642228,0.693147,0.606118,0
2.397895,0.693147,0.0,2.197225,2.397895,3.828641,1.94591,1.098612,2.397895,1.098612,2.397895,0.0,0.0,0.0,0.405465,0.0,0.0,0.0,0.693147,0.693147,1
3.496508,1.098612,0.693147,3.465736,4.997212,6.075346,1.098612,3.433987,2.995732,0.654088,7.26543,0.628609,0.693147,0.298493,0.114615,0.693147,0.693147,3.79338,1.791759,0.953124,1
2.397895,0.693147,0.0,1.098612,2.564949,3.258097,0.693147,0.693147,2.397895,0.590869,3.988984,0.693147,0.0,0.0,0.530628,0.0,0.0,1.589235,0.693147,0.641854,0
1.94591,0.693147,1.386294,1.94591,2.079442,2.079442,1.386294,1.386294,1.94591,0.530628,3.367296,0.693147,0.693147,0.0,0.367724,0.0,0.0,1.466337,0.693147,0.606118,0
1.791759,0.693147,0.0,1.94591,2.484907,0.0,1.609438,1.098612,1.791759,0.318454,3.73767,0.693147,0.693147,0.0,0.382992,0.0,0.0,2.054124,0.693147,0.587787,0
0.693147,0.693147,0.0,1.609438,0.693147,0.0,1.609438,0.693147,0.693147,1.098612,0.693147,0.0,0.0,0.0,0.693147,0.0,0.0,0.0,0.693147,0.693147,0
1.94591,0.693147,0.0,2.995732,4.406719,2.772589,1.386294,2.890372,1.791759,1.098612,6.52503,0.0,0.0,0.0,0.251314,0.0,0.0,4.731803,2.995732,1.67397,1
2.302585,1.098612,0.0,2.197225,2.944439,1.94591,1.609438,1.609438,2.302585,0.57145,4.744932,0.693147,1.098612,0.241162,0.367724,0.693147,1.609438,2.484907,1.098612,0.693147,0
1.791759,0.693147,0.0,2.564949,3.091042,0.0,2.302585,1.386294,1.791759,0.0,4.330733,0.693147,0.0,0.0,0.336472,0.0,0.0,2.694627,1.098612,0.693147,0
2.772589,1.609438,0.0,2.302585,3.806662,4.158883,0.0,2.302585,2.772589,0.606136,5.442418,0.693147,0.0,0.575364,0.312375,1.098612,1.609438,2.703596,0.693147,0.659228,1
1.791759,0.693147,0.0,2.944439,3.970292,2.397895,0.0,2.944439,1.098612,1.098612,6.194405,0.0,0.0,0.0,0.223144,0.0,0.0,4.582925,0.693147,0.587787,1
2.772589,1.609438,0.0,2.302585,3.806662,4.158883,0.0,2.302585,2.772589,0.606136,5.442418,0.693147,0.0,0.575364,0.312375,1.098612,1.609438,2.703596,0.693147,0.659228,1
2.639057,1.609438,0.0,1.386294,3.526361,4.234107,0.0,1.386294,2.564949,0.606136,5.220356,0.693147,0.0,0.589607,0.396881,0.0,0.0,2.622436,1.386294,0.730876,0
1.386294,1.098612,0.0,1.609438,2.397895,0.693147,0.693147,1.386294,1.098612,0.405465,4.060443,0.693147,0.0,0.606136,0.510826,0.0,0.0,2.926739,2.079442,1.203963,0
2.397895,0.693147,0.0,2.397895,3.465736,0.0,1.94591,1.791759,2.397895,0.441833,5.209486,0.693147,0.693147,0.0,0.236389,0.0,0.0,2.890372,1.386294,0.916291,1
2.397895,0.693147,0.0,2.397895,3.465736,0.0,1.94591,1.791759,2.397895,0.441833,5.209486,0.693147,0.693147,0.0,0.236389,0.0,0.0,2.890372,1.386294,0.916291,1
1.609438,1.098612,0.0,1.609438,2.70805,1.098612,1.098612,1.386294,1.098612,0.510826,4.49981,0.405465,0.0,0.538997,0.367724,0.0,0.0,3.079614,2.079442,1.098612,1
1.791759,0.693147,0.0,1.386294,2.890372,0.0,0.693147,1.098612,1.609438,0.348307,4.317488,0.693147,0.0,0.0,0.405465,0.0,0.0,2.653242,1.609438,0.788457,1
2.484907,1.098612,0.0,2.079442,3.465736,3.828641,1.098612,1.94591,1.94591,0.405465,5.117994,0.693147,0.693147,0.494696,0.310155,0.0,0.0,2.701971,1.098612,0.646632,1
1.386294,0.693147,0.0,2.70805,1.386294,1.386294,2.639057,0.693147,1.386294,1.098612,1.386294,0.0,0.0,0.0,0.693147,0.0,0.0,0.0,0.693147,0.693147,0
2.944439,1.94591,0.0,2.197225,3.912023,4.356709,0.693147,2.197225,2.70805,0.584514,5.831882,0.510826,0.0,0.602419,0.215709,1.098612,1.098612,2.920769,2.302585,1.021659,0
2.484907,0.693147,0.0,2.079442,3.295837,3.401197,1.609438,1.386294,2.484907,0.262364,4.787492,0.693147,1.098612,0.0,0.241162,0.693147,0.693147,2.364279,1.609438,0.78015,0
2.639057,1.098612,0.0,2.484907,3.555348,0.0,1.098612,2.484907,2.639057,0.287682,5.220356,0.693147,1.098612,0.451985,0.215422,0.693147,0.693147,2.639057,1.386294,0.80236,1
2.302585,1.098612,0.0,2.397895,3.610918,2.70805,0.693147,2.397895,2.197225,0.446287,5.075174,0.693147,0.693147,0.374693,0.320472,0.0,0.0,2.859021,1.609438,0.847284,1
2.890372,1.609438,0.0,2.772589,4.369448,4.442651,0.0,2.772589,2.772589,0.61603,6.013715,0.693147,0.0,0.561811,0.227057,0.693147,0.693147,3.158251,1.94591,0.804375,0
2.302585,1.098612,0.0,2.197225,2.944439,1.94591,1.609438,1.609438,2.302585,0.57145,4.744932,0.693147,1.098612,0.241162,0.367724,0.693147,1.609438,2.484907,1.098612,0.693147,0
2.302585,0.693147,0.0,1.609438,2.995732,3.044522,0.693147,1.386294,2.302585,0.17185,4.418841,0.693147,0.693147,0.0,0.275706,0.0,0.0,2.184802,1.098612,0.693147,1
2.639057,0.693147,0.0,1.098612,4.094345,0.0,0.693147,0.693147,2.484907,0.476924,6.526495,0.693147,0.0,0.0,0.362905,0.0,0.0,3.955672,2.833213,1.366882,0
2.197225,0.693147,0.0,2.484907,4.110874,3.367296,1.098612,2.302585,2.079442,1.098612,6.915723,0.0,0.0,0.0,0.287682,0.0,0.0,4.835289,2.484907,1.812379,0
2.995732,0.693147,0.0,1.94591,3.258097,4.912655,1.609438,1.098612,2.564949,0.664976,5.123964,0.446287,1.098612,0.0,0.228393,0.0,0.0,2.072841,1.609438,0.693147,0
1.94591,0.693147,0.0,2.197225,1.94591,2.772589,2.079442,1.098612,1.94591,1.098612,1.94591,0.0,0.0,0.0,0.693147,0.0,0.0,0.0,0.693147,0.693147,1
3.663562,0.693147,0.0,2.639057,4.465908,6.253829,1.386294,2.397895,3.663562,0.624223,6.386879,0.693147,1.098612,0.0,0.116947,0.0,0.0,2.723716,1.386294,0.828333,1
2.079442,1.609438,0.0,2.079442,3.295837,0.0,0.0,2.079442,2.079442,0.476924,4.934474,0.693147,0.0,0.637058,0.305382,0.0,0.0,2.959365,0.693147,0.619016,0
0.693147,0.693147,0.0,1.609438,0.693147,0.0,1.609438,0.693147,0.693147,1.098612,0.693147,0.0,0.0,0.0,0.693147,0.0,0.0,0.0,0.693147,0.693147,0
2.079442,0.693147,0.0,3.367296,2.079442,3.091042,3.295837,1.098612,2.079442,1.098612,2.079442,0.0,0.0,0.0,0.693147,0.0,0.0,0.0,0.693147,0.693147,0
2.302585,1.098612,0.0,2.397895,3.610918,2.70805,0.693147,2.397895,2.197225,0.446287,5.075174,0.693147,0.693147,0.374693,0.320472,0.0,0.0,2.859021,1.609438,0.847284,1
1.386294,0.693147,0.0,1.791759,1.386294,1.386294,1.791759,0.0,1.386294,1.098612,1.386294,0.0,0.0,0.0,0.510826,0.0,0.0,0.0,0.693147,0.693147,1
1.098612,1.791759,1.098612,1.791759,1.791759,0.693147,1.098612,1.386294,1.098612,1.098612,2.564949,0.0,0.0,0.686955,0.693147,0.693147,0.693147,1.791759,0.693147,0.405465,0
2.079442,1.609438,0.0,2.079442,3.295837,0.0,0.0,2.079442,2.079442,0.476924,4.934474,0.693147,0.0,0.637058,0.305382,0.0,0.0,2.959365,0.693147,0.619016,0
2.995732,0.693147,0.0,1.94591,3.258097,4.912655,1.609438,1.098612,2.564949,0.664976,5.123964,0.446287,1.098612,0.0,0.228393,0.0,0.0,2.072841,1.609438,0.693147,0
3.555348,1.609438,0.0,2.639057,4.488636,6.073045,0.0,2.639057,3.496508,0.655057,6.276643,0.693147,0.0,0.468478,0.318454,1.098612,1.609438,2.719746,0.693147,0.678338,1
1.386294,0.693147,0.0,1.609438,1.609438,0.0,1.609438,0.0,1.386294,0.405465,3.044522,0.693147,0.0,0.0,0.510826,0.0,0.0,1.791759,0.693147,0.510846,0
1.609438,0.693147,1.098612,1.609438,3.258097,1.94591,1.098612,1.098612,1.609438,1.098612,4.844187,0.0,0.0,0.0,0.485508,0.693147,0.693147,3.449988,2.197225,1.321756,0
2.833213,0.693147,0.0,2.397895,3.850148,4.762174,2.197225,1.098612,2.772589,0.696844,6.068426,0.200671,0.0,0.0,0.19807,0.0,0.0,3.272417,2.197225,1.011601,1
1.94591,0.693147,0.0,2.197225,1.94591,2.772589,2.079442,1.098612,1.94591,1.098612,1.94591,0.0,0.0,0.0,0.693147,0.0,0.0,0.0,0.693147,0.693147,1
2.397895,0.693147,0.0,2.197225,2.397895,3.828641,1.94591,1.098612,2.397895,1.098612,2.397895,0.0,0.0,0.0,0.405465,0.0,0.0,0.0,0.693147,0.693147,1
1.609438,0.693147,0.0,1.791759,2.944439,1.609438,1.386294,1.098612,1.098612,0.606136,4.70048,0.405465,0.0,0.0,0.348307,0.0,0.0,3.248435,0.693147,0.405465,1
4.219508,0.693147,0.0,3.433987,5.159055,7.433667,2.772589,3.091042,3.970292,0.632238,7.611348,0.693147,1.94591,0.0,0.115292,0.693147,0.693147,3.39621,2.944439,1.220269,1
2.079442,1.609438,0.0,2.079442,3.295837,0.0,0.0,2.079442,2.079442,0.476924,4.934474,0.693147,0.0,0.637058,0.305382,0.0,0.0,2.959365,0.693147,0.619016,0
2.639057,0.693147,0.0,2.890372,2.639057,4.369448,2.772589,1.386294,2.639057,1.098612,2.639057,0.0,0.0,0.0,0.396881,0.0,0.0,0.0,0.693147,0.693147,0
2.772589,1.609438,0.0,2.197225,3.951244,3.871201,0.693147,2.197225,2.772589,0.579818,5.545177,0.693147,0.0,0.575364,0.312375,1.098612,1.609438,2.809403,0.693147,0.659228,1
3.663562,1.098612,0.0,3.637586,5.036953,6.345636,0.693147,3.637586,3.091042,0.639361,7.323831,0.628609,0.693147,0.268264,0.11541,0.693147,0.693147,3.68029,1.609438,0.916291,1
1.098612,1.791759,1.098612,1.791759,1.791759,0.693147,1.098612,1.386294,1.098612,1.098612,2.564949,0.0,0.0,0.686955,0.693147,0.693147,0.693147,1.791759,0.693147,0.405465,0
2.079442,1.609438,0.0,2.079442,3.295837,0.0,0.0,2.079442,2.079442,0.476924,4.934474,0.693147,0.0,0.637058,0.305382,0.0,0.0,2.959365,0.693147,0.619016,0
2.079442,1.609438,0.0,2.079442,3.295837,0.0,0.0,2.079442,2.079442,0.476924,4.934474,0.693147,0.0,0.637058,0.305382,0.0,0.0,2.959365,0.693147,0.619016,0
1.098612,0.693147,0.0,2.397895,1.098612,0.693147,2.397895,0.693147,1.098612,1.098612,1.098612,0.0,0.0,0.0,0.510826,0.0,0.0,0.0,0.693147,0.693147,0
2.564949,0.693147,0.0,3.044522,2.564949,4.204693,2.833213,2.302585,2.564949,1.098612,2.564949,0.0,0.0,0.0,0.182322,0.0,0.0,0.0,0.693147,0.693147,1
1.94591,0.693147,0.0,2.995732,4.406719,2.772589,1.386294,2.890372,1.791759,1.098612,6.52503,0.0,0.0,0.0,0.251314,0.0,0.0,4.731803,2.995732,1.67397,1
1.791759,1.098612,0.0,1.94591,4.158883,0.0,0.693147,1.94591,1.791759,0.432864,6.077642,0.693147,1.098612,0.593064,0.336472,0.693147,0.693147,4.452019,0.693147,0.587787,1
1.791759,0.693147,0.0,1.609438,2.833213,0.0,1.098612,1.098612,1.791759,0.459532,4.382027,0.287682,0.0,0.0,0.382992,0.0,0.0,2.721295,1.098612,0.693147,0
2.079442,0.693147,0.0,3.367296,2.079442,3.091042,3.295837,1.098612,2.079442,1.098612,2.079442,0.0,0.0,0.0,0.693147,0.0,0.0,0.0,0.693147,0.693147,0
2.302585,1.098612,0.0,2.197225,2.944439,1.94591,1.609438,1.609438,2.302585,0.57145,4.744932,0.693147,1.098612,0.241162,0.367724,0.693147,1.609438,2.484907,1.098612,0.693147,0
2.079442,1.609438,0.0,2.079442,3.295837,0.0,0.0,2.079442,2.079442,0.476924,4.934474,0.693147,0.0,0.637058,0.305382,0.0,0.0,2.959365,0.693147,0.619016,0
2.079442,0.693147,0.0,3.367296,2.079442,3.091042,3.295837,1.098612,2.079442,1.098612,2.079442,0.0,0.0,0.0,0.693147,0.0,0.0,0.0,0.693147,0.693147,0
1.94591,0.693147,0.0,2.639057,1.94591,2.772589,2.484907,1.386294,1.94591,1.098612,1.94591,0.0,0.0,0.0,0.693147,0.0,0.0,0.0,0.693147,0.693147,1
3.044522,0.693147,0.0,2.70805,4.110874,3.89182,1.94591,2.397895,3.044522,0.59652,6.246107,0.693147,1.098612,0.0,0.154151,0.0,0.0,3.232779,1.609438,1.029619,0
1.94591,0.693147,1.386294,1.94591,2.079442,2.079442,1.386294,1.386294,1.94591,0.530628,3.367296,0.693147,0.693147,0.0,0.367724,0.0,0.0,1.466337,0.693147,0.606118,0
2.302585,0.693147,0.0,1.609438,2.995732,3.044522,0.693147,1.386294,2.302585,0.17185,4.418841,0.693147,0.693147,0.0,0.275706,0.0,0.0,2.184802,1.098612,0.693147,1
2.995732,0.693147,0.0,1.94591,3.258097,4.912655,1.609438,1.098612,2.564949,0.664976,5.123964,0.446287,1.098612,0.0,0.228393,0.0,0.0,2.072841,1.609438,0.693147,0
1.791759,0.693147,0.0,1.386294,2.890372,0.0,0.693147,1.098612,1.609438,0.348307,4.317488,0.693147,0.0,0.0,0.405465,0.0,0.0,2.653242,1.609438,0.788457,1
2.639057,1.609438,0.0,1.386294,3.526361,4.234107,0.0,1.386294,2.564949,0.606136,5.220356,0.693147,0.0,0.589607,0.396881,0.0,0.0,2.622436,1.386294,0.730876,0
4.219508,0.693147,0.0,3.433987,5.159055,7.433667,2.772589,3.091042,3.970292,0.632238,7.611348,0.693147,1.94591,0.0,0.115292,0.693147,0.693147,3.39621,2.944439,1.220269,1
1.94591,0.693147,0.0,1.098612,2.484907,0.0,0.693147,0.693147,1.94591,0.0,3.496508,0.693147,0.0,0.0,0.459532,0.0,0.0,1.642228,0.693147,0.606118,0
2.944439,1.94591,0.0,2.197225,3.912023,4.356709,0.693147,2.197225,2.70805,0.584514,5.831882,0.510826,0.0,0.602419,0.215709,1.098612,1.098612,2.920769,2.302585,1.021659,0
1.098612,0.693147,0.0,0.693147,2.397895,0.693147,0.693147,0.0,1.098612,1.098612,3.555348,0.0,0.0,0.0,0.405465,0.0,0.0,2.833213,1.609438,1.098612,0
2.564949,0.693147,0.0,3.044522,2.564949,4.204693,2.833213,2.302585,2.564949,1.098612,2.564949,0.0,0.0,0.0,0.182322,0.0,0.0,0.0,0.693147,0.693147,1
1.791759,0.693147,0.0,1.609438,2.833213,0.0,1.098612,1.098612,1.791759,0.459532,4.382027,0.287682,0.0,0.0,0.382992,0.0,0.0,2.721295,1.098612,0.693147,0
2.564949,0.693147,0.0,2.484907,2.890372,2.944439,2.302585,1.609438,2.564949,0.519875,4.644391,0.693147,1.098612,0.0,0.216455,0.0,0.0,2.089804,0.693147,0.559616,1
2.639057,0.693147,0.0,2.70805,4.077537,3.806662,0.693147,2.639057,1.94591,0.465364,6.171701,0.693147,0.0,0.0,0.268264,0.0,0.0,3.585653,1.791759,1.072645,1
2.944439,1.94591,0.0,2.197225,3.912023,4.356709,0.693147,2.197225,2.70805,0.584514,5.831882,0.510826,0.0,0.602419,0.215709,1.098612,1.098612,2.920769,2.302585,1.021659,0
1.098612,0.693147,0.0,1.791759,3.135494,0.693147,1.098612,1.386294,1.098612,1.098612,4.934474,0.0,0.0,0.0,0.405465,0.0,0.0,4.234107,0.693147,0.405465,1
0.693147,0.693147,0.0,1.94591,0.693147,0.0,1.791759,0.693147,0.693147,1.098612,0.693147,0.0,0.0,0.0,0.693147,0.0,0.0,0.0,0.693147,0.693147,1
1.098612,0.693147,0.0,2.397895,1.098612,0.693147,2.397895,0.693147,1.098612,1.098612,1.098612,0.0,0.0,0.0,0.510826,0.0,0.0,0.0,0.693147,0.693147,0
2.197225,0.693147,0.0,1.791759,2.890372,3.044522,1.609438,0.693147,2.197225,0.405465,4.804021,0.693147,0.693147,0.0,0.295464,0.693147,0.693147,2.682732,1.94591,0.916291,0
1.098612,1.098612,0.0,1.386294,1.94591,0.693147,0.693147,1.098612,1.098612,1.098612,3.89182,0.0,0.0,0.606136,0.510826,0.0,0.0,3.178054,1.94591,1.386294,0
1.609438,1.098612,0.0,1.609438,2.70805,1.098612,1.098612,1.386294,1.098612,0.510826,4.49981,0.405465,0.0,0.538997,0.367724,0.0,0.0,3.079614,2.079442,1.098612,1
1.386294,0.693147,0.0,2.302585,1.609438,0.693147,2.302585,0.0,0.693147,0.559616,3.496508,0.223144,1.386294,0.0,0.559616,0.0,0.0,2.233592,0.693147,0.287657,0
3.044522,0.693147,0.0,3.433987,3.044522,5.252273,3.178054,2.079442,3.044522,0.719123,3.091042,0.0,0.0,0.0,0.202941,0.0,0.0,0.0,0.693147,0.693147,1
1.098612,0.693147,0.0,2.197225,1.098612,0.693147,2.079442,0.693147,1.098612,1.098612,1.098612,0.0,0.0,0.0,0.510826,0.0,0.0,0.0,0.693147,0.693147,0
2.302585,1.098612,0.0,2.397895,3.610918,2.70805,0.693147,2.397895,2.197225,0.446287,5.075174,0.693147,0.693147,0.374693,0.320472,0.0,0.0,2.859021,1.609438,0.847284,1
