@relation camel-1.2-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6

@attribute wmc {'\'(-inf-9.4]\'','\'(9.4-18.8]\'','\'(18.8-28.2]\'','\'(28.2-37.6]\'','\'(37.6-47]\'','\'(47-56.4]\'','\'(56.4-65.8]\'','\'(65.8-75.2]\'','\'(75.2-84.6]\'','\'(84.6-inf)\''}
@attribute dit {'\'(-inf-0.6]\'','\'(0.6-1.2]\'','\'(1.2-1.8]\'','\'(1.8-2.4]\'','\'(2.4-3]\'','\'(3-3.6]\'','\'(3.6-4.2]\'','\'(4.2-4.8]\'','\'(4.8-5.4]\'','\'(5.4-inf)\''}
@attribute noc {'\'(-inf-2.7]\'','\'(2.7-5.4]\'','\'(5.4-8.1]\'','\'(8.1-10.8]\'','\'(10.8-13.5]\'','\'(13.5-16.2]\'','\'(16.2-18.9]\'','\'(18.9-21.6]\'','\'(21.6-24.3]\'','\'(24.3-inf)\''}
@attribute cbo {'\'(-inf-27.2]\'','\'(27.2-54.4]\'','\'(54.4-81.6]\'','\'(81.6-108.8]\'','\'(108.8-136]\'','\'(136-163.2]\'','\'(163.2-190.4]\'','\'(190.4-217.6]\'','\'(217.6-244.8]\'','\'(244.8-inf)\''}
@attribute rfc {'\'(-inf-18.6]\'','\'(18.6-37.2]\'','\'(37.2-55.8]\'','\'(55.8-74.4]\'','\'(74.4-93]\'','\'(93-111.6]\'','\'(111.6-130.2]\'','\'(130.2-148.8]\'','\'(148.8-167.4]\'','\'(167.4-inf)\''}
@attribute lcom {'\'(-inf-436.1]\'','\'(436.1-872.2]\'','\'(872.2-1308.3]\'','\'(1308.3-1744.4]\'','\'(1744.4-2180.5]\'','\'(2180.5-2616.6]\'','\'(2616.6-3052.7]\'','\'(3052.7-3488.8]\'','\'(3488.8-3924.9]\'','\'(3924.9-inf)\''}
@attribute ca {'\'(-inf-27]\'','\'(27-54]\'','\'(54-81]\'','\'(81-108]\'','\'(108-135]\'','\'(135-162]\'','\'(162-189]\'','\'(189-216]\'','\'(216-243]\'','\'(243-inf)\''}
@attribute ce {'\'(-inf-5.3]\'','\'(5.3-10.6]\'','\'(10.6-15.9]\'','\'(15.9-21.2]\'','\'(21.2-26.5]\'','\'(26.5-31.8]\'','\'(31.8-37.1]\'','\'(37.1-42.4]\'','\'(42.4-47.7]\'','\'(47.7-inf)\''}
@attribute npm {'\'(-inf-8.6]\'','\'(8.6-17.2]\'','\'(17.2-25.8]\'','\'(25.8-34.4]\'','\'(34.4-43]\'','\'(43-51.6]\'','\'(51.6-60.2]\'','\'(60.2-68.8]\'','\'(68.8-77.4]\'','\'(77.4-inf)\''}
@attribute lcom3 {'\'(-inf-0.2]\'','\'(0.2-0.4]\'','\'(0.4-0.6]\'','\'(0.6-0.8]\'','\'(0.8-1]\'','\'(1-1.2]\'','\'(1.2-1.4]\'','\'(1.4-1.6]\'','\'(1.6-1.8]\'','\'(1.8-inf)\''}
@attribute loc {'\'(-inf-105.6]\'','\'(105.6-211.2]\'','\'(211.2-316.8]\'','\'(316.8-422.4]\'','\'(422.4-528]\'','\'(528-633.6]\'','\'(633.6-739.2]\'','\'(739.2-844.8]\'','\'(844.8-950.4]\'','\'(950.4-inf)\''}
@attribute dam {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute moa {'\'(-inf-0.9]\'','\'(0.9-1.8]\'','\'(1.8-2.7]\'','\'(2.7-3.6]\'','\'(3.6-4.5]\'','\'(4.5-5.4]\'','\'(5.4-6.3]\'','\'(6.3-7.2]\'','\'(7.2-8.1]\'','\'(8.1-inf)\''}
@attribute mfa {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute cam {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute ic {'\'(-inf-0.3]\'','\'(0.3-0.6]\'','\'(0.6-0.9]\'','\'(0.9-1.2]\'','\'(1.2-1.5]\'','\'(1.5-1.8]\'','\'(1.8-2.1]\'','\'(2.1-2.4]\'','\'(2.4-2.7]\'','\'(2.7-inf)\''}
@attribute cbm {'\'(-inf-1.4]\'','\'(1.4-2.8]\'','\'(2.8-4.2]\'','\'(4.2-5.6]\'','\'(5.6-7]\'','\'(7-8.4]\'','\'(8.4-9.8]\'','\'(9.8-11.2]\'','\'(11.2-12.6]\'','\'(12.6-inf)\''}
@attribute amc {'\'(-inf-13.866667]\'','\'(13.866667-27.733333]\'','\'(27.733333-41.6]\'','\'(41.6-55.466667]\'','\'(55.466667-69.333333]\'','\'(69.333333-83.2]\'','\'(83.2-97.066667]\'','\'(97.066667-110.933334]\'','\'(110.933334-124.8]\'','\'(124.8-inf)\''}
@attribute max_cc {'\'(-inf-2.9]\'','\'(2.9-5.8]\'','\'(5.8-8.7]\'','\'(8.7-11.6]\'','\'(11.6-14.5]\'','\'(14.5-17.4]\'','\'(17.4-20.3]\'','\'(20.3-23.2]\'','\'(23.2-26.1]\'','\'(26.1-inf)\''}
@attribute avg_cc {'\'(-inf-0.65]\'','\'(0.65-1.3]\'','\'(1.3-1.95]\'','\'(1.95-2.6]\'','\'(2.6-3.25]\'','\'(3.25-3.9]\'','\'(3.9-4.55]\'','\'(4.55-5.2]\'','\'(5.2-5.85]\'','\'(5.85-inf)\''}
@attribute bug {N,Y}

@data
'\'(-inf-9.4]\'','\'(-inf-0.6]\'','\'(-inf-2.7]\'','\'(-inf-27.2]\'','\'(-inf-18.6]\'','\'(-inf-436.1]\'','\'(-inf-27]\'','\'(5.3-10.6]\'','\'(-inf-8.6]\'','\'(0.6-0.8]\'','\'(-inf-105.6]\'','\'(0.9-inf)\'','\'(-inf-0.9]\'','\'(-inf-0.1]\'','\'(0.4-0.5]\'','\'(-inf-0.3]\'','\'(-inf-1.4]\'','\'(13.866667-27.733333]\'','\'(5.8-8.7]\'','\'(1.95-2.6]\'',N
'\'(-inf-9.4]\'','\'(1.8-2.4]\'','\'(-inf-2.7]\'','\'(-inf-27.2]\'','\'(-inf-18.6]\'','\'(-inf-436.1]\'','\'(-inf-27]\'','\'(5.3-10.6]\'','\'(-inf-8.6]\'','\'(-inf-0.2]\'','\'(-inf-105.6]\'','\'(0.9-inf)\'','\'(0.9-1.8]\'','\'(0.9-inf)\'','\'(0.5-0.6]\'','\'(-inf-0.3]\'','\'(-inf-1.4]\'','\'(-inf-13.866667]\'','\'(-inf-2.9]\'','\'(-inf-0.65]\'',N
'\'(-inf-9.4]\'','\'(2.4-3]\'','\'(-inf-2.7]\'','\'(-inf-27.2]\'','\'(-inf-18.6]\'','\'(-inf-436.1]\'','\'(-inf-27]\'','\'(-inf-5.3]\'','\'(-inf-8.6]\'','\'(0.6-0.8]\'','\'(-inf-105.6]\'','\'(0.9-inf)\'','\'(0.9-1.8]\'','\'(0.4-0.5]\'','\'(0.4-0.5]\'','\'(-inf-0.3]\'','\'(-inf-1.4]\'','\'(-inf-13.866667]\'','\'(-inf-2.9]\'','\'(0.65-1.3]\'',N
'\'(-inf-9.4]\'','\'(0.6-1.2]\'','\'(-inf-2.7]\'','\'(-inf-27.2]\'','\'(55.8-74.4]\'','\'(-inf-436.1]\'','\'(-inf-27]\'','\'(10.6-15.9]\'','\'(-inf-8.6]\'','\'(0.6-0.8]\'','\'(316.8-422.4]\'','\'(0.7-0.8]\'','\'(1.8-2.7]\'','\'(-inf-0.1]\'','\'(0.3-0.4]\'','\'(-inf-0.3]\'','\'(-inf-1.4]\'','\'(41.6-55.466667]\'','\'(8.7-11.6]\'','\'(1.95-2.6]\'',Y
'\'(-inf-9.4]\'','\'(0.6-1.2]\'','\'(-inf-2.7]\'','\'(-inf-27.2]\'','\'(-inf-18.6]\'','\'(-inf-436.1]\'','\'(-inf-27]\'','\'(-inf-5.3]\'','\'(-inf-8.6]\'','\'(1.8-inf)\'','\'(-inf-105.6]\'','\'(-inf-0.1]\'','\'(-inf-0.9]\'','\'(-inf-0.1]\'','\'(0.6-0.7]\'','\'(-inf-0.3]\'','\'(-inf-1.4]\'','\'(13.866667-27.733333]\'','\'(5.8-8.7]\'','\'(2.6-3.25]\'',Y
'\'(-inf-9.4]\'','\'(0.6-1.2]\'','\'(-inf-2.7]\'','\'(-inf-27.2]\'','\'(-inf-18.6]\'','\'(-inf-436.1]\'','\'(-inf-27]\'','\'(-inf-5.3]\'','\'(-inf-8.6]\'','\'(1.8-inf)\'','\'(-inf-105.6]\'','\'(-inf-0.1]\'','\'(-inf-0.9]\'','\'(-inf-0.1]\'','\'(0.8-0.9]\'','\'(-inf-0.3]\'','\'(-inf-1.4]\'','\'(-inf-13.866667]\'','\'(-inf-2.9]\'','\'(0.65-1.3]\'',N
'\'(47-56.4]\'','\'(2.4-3]\'','\'(-inf-2.7]\'','\'(-inf-27.2]\'','\'(93-111.6]\'','\'(1308.3-1744.4]\'','\'(-inf-27]\'','\'(15.9-21.2]\'','\'(43-51.6]\'','\'(0.6-0.8]\'','\'(422.4-528]\'','\'(0.4-0.5]\'','\'(0.9-1.8]\'','\'(0.3-0.4]\'','\'(0.1-0.2]\'','\'(0.9-1.2]\'','\'(1.4-2.8]\'','\'(-inf-13.866667]\'','\'(2.9-5.8]\'','\'(0.65-1.3]\'',N
'\'(9.4-18.8]\'','\'(2.4-3]\'','\'(-inf-2.7]\'','\'(-inf-27.2]\'','\'(18.6-37.2]\'','\'(-inf-436.1]\'','\'(-inf-27]\'','\'(5.3-10.6]\'','\'(-inf-8.6]\'','\'(0.6-0.8]\'','\'(105.6-211.2]\'','\'(0.9-inf)\'','\'(2.7-3.6]\'','\'(0.6-0.7]\'','\'(0.2-0.3]\'','\'(0.9-1.2]\'','\'(-inf-1.4]\'','\'(-inf-13.866667]\'','\'(-inf-2.9]\'','\'(0.65-1.3]\'',N
'\'(-inf-9.4]\'','\'(1.8-2.4]\'','\'(-inf-2.7]\'','\'(-inf-27.2]\'','\'(-inf-18.6]\'','\'(-inf-436.1]\'','\'(-inf-27]\'','\'(-inf-5.3]\'','\'(-inf-8.6]\'','\'(1.8-inf)\'','\'(-inf-105.6]\'','\'(-inf-0.1]\'','\'(-inf-0.9]\'','\'(0.8-0.9]\'','\'(0.9-inf)\'','\'(-inf-0.3]\'','\'(-inf-1.4]\'','\'(-inf-13.866667]\'','\'(-inf-2.9]\'','\'(-inf-0.65]\'',N
'\'(9.4-18.8]\'','\'(1.8-2.4]\'','\'(10.8-13.5]\'','\'(-inf-27.2]\'','\'(18.6-37.2]\'','\'(-inf-436.1]\'','\'(-inf-27]\'','\'(5.3-10.6]\'','\'(-inf-8.6]\'','\'(0.6-0.8]\'','\'(-inf-105.6]\'','\'(0.9-inf)\'','\'(3.6-4.5]\'','\'(0.5-0.6]\'','\'(0.2-0.3]\'','\'(0.9-1.2]\'','\'(-inf-1.4]\'','\'(-inf-13.866667]\'','\'(-inf-2.9]\'','\'(0.65-1.3]\'',Y
'\'(18.8-28.2]\'','\'(0.6-1.2]\'','\'(-inf-2.7]\'','\'(-inf-27.2]\'','\'(37.2-55.8]\'','\'(-inf-436.1]\'','\'(-inf-27]\'','\'(-inf-5.3]\'','\'(17.2-25.8]\'','\'(-inf-0.2]\'','\'(211.2-316.8]\'','\'(0.9-inf)\'','\'(0.9-1.8]\'','\'(-inf-0.1]\'','\'(0.2-0.3]\'','\'(-inf-0.3]\'','\'(-inf-1.4]\'','\'(-inf-13.866667]\'','\'(-inf-2.9]\'','\'(0.65-1.3]\'',N
'\'(-inf-9.4]\'','\'(2.4-3]\'','\'(-inf-2.7]\'','\'(-inf-27.2]\'','\'(18.6-37.2]\'','\'(-inf-436.1]\'','\'(-inf-27]\'','\'(-inf-5.3]\'','\'(-inf-8.6]\'','\'(1.8-inf)\'','\'(-inf-105.6]\'','\'(-inf-0.1]\'','\'(-inf-0.9]\'','\'(0.9-inf)\'','\'(0.3-0.4]\'','\'(0.9-1.2]\'','\'(-inf-1.4]\'','\'(13.866667-27.733333]\'','\'(-inf-2.9]\'','\'(-inf-0.65]\'',N
'\'(9.4-18.8]\'','\'(2.4-3]\'','\'(-inf-2.7]\'','\'(-inf-27.2]\'','\'(18.6-37.2]\'','\'(-inf-436.1]\'','\'(-inf-27]\'','\'(10.6-15.9]\'','\'(-inf-8.6]\'','\'(0.8-1]\'','\'(105.6-211.2]\'','\'(0.9-inf)\'','\'(1.8-2.7]\'','\'(0.7-0.8]\'','\'(0.3-0.4]\'','\'(0.9-1.2]\'','\'(1.4-2.8]\'','\'(-inf-13.866667]\'','\'(-inf-2.9]\'','\'(0.65-1.3]\'',Y
'\'(18.8-28.2]\'','\'(0.6-1.2]\'','\'(-inf-2.7]\'','\'(-inf-27.2]\'','\'(37.2-55.8]\'','\'(-inf-436.1]\'','\'(-inf-27]\'','\'(-inf-5.3]\'','\'(17.2-25.8]\'','\'(-inf-0.2]\'','\'(211.2-316.8]\'','\'(0.9-inf)\'','\'(-inf-0.9]\'','\'(-inf-0.1]\'','\'(0.3-0.4]\'','\'(-inf-0.3]\'','\'(-inf-1.4]\'','\'(-inf-13.866667]\'','\'(-inf-2.9]\'','\'(1.3-1.95]\'',N
'\'(-inf-9.4]\'','\'(0.6-1.2]\'','\'(-inf-2.7]\'','\'(-inf-27.2]\'','\'(-inf-18.6]\'','\'(-inf-436.1]\'','\'(-inf-27]\'','\'(-inf-5.3]\'','\'(-inf-8.6]\'','\'(1.8-inf)\'','\'(-inf-105.6]\'','\'(-inf-0.1]\'','\'(-inf-0.9]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.3]\'','\'(-inf-1.4]\'','\'(-inf-13.866667]\'','\'(-inf-2.9]\'','\'(-inf-0.65]\'',N
'\'(-inf-9.4]\'','\'(0.6-1.2]\'','\'(-inf-2.7]\'','\'(-inf-27.2]\'','\'(-inf-18.6]\'','\'(-inf-436.1]\'','\'(-inf-27]\'','\'(-inf-5.3]\'','\'(-inf-8.6]\'','\'(1.8-inf)\'','\'(-inf-105.6]\'','\'(-inf-0.1]\'','\'(-inf-0.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'','\'(-inf-0.3]\'','\'(-inf-1.4]\'','\'(-inf-13.866667]\'','\'(-inf-2.9]\'','\'(0.65-1.3]\'',N
'\'(-inf-9.4]\'','\'(0.6-1.2]\'','\'(-inf-2.7]\'','\'(-inf-27.2]\'','\'(-inf-18.6]\'','\'(-inf-436.1]\'','\'(-inf-27]\'','\'(-inf-5.3]\'','\'(-inf-8.6]\'','\'(1.8-inf)\'','\'(-inf-105.6]\'','\'(-inf-0.1]\'','\'(-inf-0.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'','\'(-inf-0.3]\'','\'(-inf-1.4]\'','\'(-inf-13.866667]\'','\'(-inf-2.9]\'','\'(0.65-1.3]\'',Y
'\'(9.4-18.8]\'','\'(1.8-2.4]\'','\'(-inf-2.7]\'','\'(-inf-27.2]\'','\'(18.6-37.2]\'','\'(-inf-436.1]\'','\'(-inf-27]\'','\'(5.3-10.6]\'','\'(8.6-17.2]\'','\'(0.6-0.8]\'','\'(-inf-105.6]\'','\'(0.9-inf)\'','\'(0.9-1.8]\'','\'(0.6-0.7]\'','\'(0.2-0.3]\'','\'(0.9-1.2]\'','\'(2.8-4.2]\'','\'(-inf-13.866667]\'','\'(-inf-2.9]\'','\'(0.65-1.3]\'',N
'\'(-inf-9.4]\'','\'(0.6-1.2]\'','\'(5.4-8.1]\'','\'(-inf-27.2]\'','\'(-inf-18.6]\'','\'(-inf-436.1]\'','\'(-inf-27]\'','\'(-inf-5.3]\'','\'(-inf-8.6]\'','\'(0.2-0.4]\'','\'(105.6-211.2]\'','\'(0.9-inf)\'','\'(1.8-2.7]\'','\'(-inf-0.1]\'','\'(0.4-0.5]\'','\'(-inf-0.3]\'','\'(-inf-1.4]\'','\'(-inf-13.866667]\'','\'(-inf-2.9]\'','\'(0.65-1.3]\'',N
'\'(9.4-18.8]\'','\'(0.6-1.2]\'','\'(-inf-2.7]\'','\'(-inf-27.2]\'','\'(-inf-18.6]\'','\'(-inf-436.1]\'','\'(-inf-27]\'','\'(-inf-5.3]\'','\'(8.6-17.2]\'','\'(0.6-0.8]\'','\'(-inf-105.6]\'','\'(0.9-inf)\'','\'(0.9-1.8]\'','\'(-inf-0.1]\'','\'(0.4-0.5]\'','\'(-inf-0.3]\'','\'(-inf-1.4]\'','\'(-inf-13.866667]\'','\'(-inf-2.9]\'','\'(0.65-1.3]\'',Y
'\'(-inf-9.4]\'','\'(2.4-3]\'','\'(-inf-2.7]\'','\'(-inf-27.2]\'','\'(-inf-18.6]\'','\'(-inf-436.1]\'','\'(-inf-27]\'','\'(5.3-10.6]\'','\'(-inf-8.6]\'','\'(0.6-0.8]\'','\'(-inf-105.6]\'','\'(0.9-inf)\'','\'(0.9-1.8]\'','\'(0.8-0.9]\'','\'(0.3-0.4]\'','\'(-inf-0.3]\'','\'(-inf-1.4]\'','\'(-inf-13.866667]\'','\'(-inf-2.9]\'','\'(0.65-1.3]\'',N
'\'(37.6-47]\'','\'(1.8-2.4]\'','\'(-inf-2.7]\'','\'(-inf-27.2]\'','\'(55.8-74.4]\'','\'(872.2-1308.3]\'','\'(-inf-27]\'','\'(15.9-21.2]\'','\'(34.4-43]\'','\'(0.6-0.8]\'','\'(422.4-528]\'','\'(0.9-inf)\'','\'(2.7-3.6]\'','\'(0.2-0.3]\'','\'(0.2-0.3]\'','\'(0.9-1.2]\'','\'(-inf-1.4]\'','\'(-inf-13.866667]\'','\'(2.9-5.8]\'','\'(0.65-1.3]\'',Y
'\'(-inf-9.4]\'','\'(1.8-2.4]\'','\'(-inf-2.7]\'','\'(-inf-27.2]\'','\'(-inf-18.6]\'','\'(-inf-436.1]\'','\'(-inf-27]\'','\'(-inf-5.3]\'','\'(-inf-8.6]\'','\'(1.8-inf)\'','\'(-inf-105.6]\'','\'(-inf-0.1]\'','\'(-inf-0.9]\'','\'(0.8-0.9]\'','\'(0.4-0.5]\'','\'(-inf-0.3]\'','\'(-inf-1.4]\'','\'(13.866667-27.733333]\'','\'(2.9-5.8]\'','\'(1.3-1.95]\'',N
'\'(-inf-9.4]\'','\'(-inf-0.6]\'','\'(-inf-2.7]\'','\'(-inf-27.2]\'','\'(-inf-18.6]\'','\'(-inf-436.1]\'','\'(-inf-27]\'','\'(-inf-5.3]\'','\'(-inf-8.6]\'','\'(1.8-inf)\'','\'(-inf-105.6]\'','\'(-inf-0.1]\'','\'(-inf-0.9]\'','\'(-inf-0.1]\'','\'(0.7-0.8]\'','\'(-inf-0.3]\'','\'(-inf-1.4]\'','\'(13.866667-27.733333]\'','\'(-inf-2.9]\'','\'(-inf-0.65]\'',N
'\'(9.4-18.8]\'','\'(0.6-1.2]\'','\'(-inf-2.7]\'','\'(-inf-27.2]\'','\'(37.2-55.8]\'','\'(-inf-436.1]\'','\'(-inf-27]\'','\'(10.6-15.9]\'','\'(-inf-8.6]\'','\'(0.4-0.6]\'','\'(211.2-316.8]\'','\'(0.9-inf)\'','\'(-inf-0.9]\'','\'(0.4-0.5]\'','\'(0.3-0.4]\'','\'(0.9-1.2]\'','\'(2.8-4.2]\'','\'(13.866667-27.733333]\'','\'(8.7-11.6]\'','\'(1.3-1.95]\'',N
'\'(-inf-9.4]\'','\'(1.8-2.4]\'','\'(-inf-2.7]\'','\'(-inf-27.2]\'','\'(-inf-18.6]\'','\'(-inf-436.1]\'','\'(-inf-27]\'','\'(-inf-5.3]\'','\'(-inf-8.6]\'','\'(1.8-inf)\'','\'(-inf-105.6]\'','\'(-inf-0.1]\'','\'(-inf-0.9]\'','\'(0.9-inf)\'','\'(0.6-0.7]\'','\'(0.9-1.2]\'','\'(1.4-2.8]\'','\'(-inf-13.866667]\'','\'(-inf-2.9]\'','\'(-inf-0.65]\'',N
'\'(-inf-9.4]\'','\'(1.8-2.4]\'','\'(-inf-2.7]\'','\'(-inf-27.2]\'','\'(-inf-18.6]\'','\'(-inf-436.1]\'','\'(-inf-27]\'','\'(-inf-5.3]\'','\'(-inf-8.6]\'','\'(0.6-0.8]\'','\'(-inf-105.6]\'','\'(0.9-inf)\'','\'(0.9-1.8]\'','\'(0.8-0.9]\'','\'(0.4-0.5]\'','\'(-inf-0.3]\'','\'(-inf-1.4]\'','\'(-inf-13.866667]\'','\'(-inf-2.9]\'','\'(-inf-0.65]\'',Y
'\'(9.4-18.8]\'','\'(0.6-1.2]\'','\'(-inf-2.7]\'','\'(-inf-27.2]\'','\'(55.8-74.4]\'','\'(-inf-436.1]\'','\'(-inf-27]\'','\'(-inf-5.3]\'','\'(-inf-8.6]\'','\'(0.4-0.6]\'','\'(422.4-528]\'','\'(0.9-inf)\'','\'(0.9-1.8]\'','\'(-inf-0.1]\'','\'(0.3-0.4]\'','\'(-inf-0.3]\'','\'(-inf-1.4]\'','\'(27.733333-41.6]\'','\'(5.8-8.7]\'','\'(1.95-2.6]\'',Y
'\'(-inf-9.4]\'','\'(0.6-1.2]\'','\'(-inf-2.7]\'','\'(-inf-27.2]\'','\'(-inf-18.6]\'','\'(-inf-436.1]\'','\'(-inf-27]\'','\'(-inf-5.3]\'','\'(-inf-8.6]\'','\'(-inf-0.2]\'','\'(-inf-105.6]\'','\'(0.9-inf)\'','\'(-inf-0.9]\'','\'(-inf-0.1]\'','\'(0.4-0.5]\'','\'(-inf-0.3]\'','\'(-inf-1.4]\'','\'(-inf-13.866667]\'','\'(-inf-2.9]\'','\'(0.65-1.3]\'',Y
'\'(-inf-9.4]\'','\'(0.6-1.2]\'','\'(-inf-2.7]\'','\'(27.2-54.4]\'','\'(-inf-18.6]\'','\'(-inf-436.1]\'','\'(27-54]\'','\'(-inf-5.3]\'','\'(-inf-8.6]\'','\'(1.8-inf)\'','\'(-inf-105.6]\'','\'(-inf-0.1]\'','\'(-inf-0.9]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.3]\'','\'(-inf-1.4]\'','\'(-inf-13.866667]\'','\'(-inf-2.9]\'','\'(-inf-0.65]\'',N
'\'(37.6-47]\'','\'(0.6-1.2]\'','\'(-inf-2.7]\'','\'(-inf-27.2]\'','\'(37.2-55.8]\'','\'(436.1-872.2]\'','\'(-inf-27]\'','\'(-inf-5.3]\'','\'(34.4-43]\'','\'(0.8-1]\'','\'(422.4-528]\'','\'(-inf-0.1]\'','\'(-inf-0.9]\'','\'(-inf-0.1]\'','\'(0.2-0.3]\'','\'(-inf-0.3]\'','\'(-inf-1.4]\'','\'(-inf-13.866667]\'','\'(-inf-2.9]\'','\'(0.65-1.3]\'',N
'\'(-inf-9.4]\'','\'(0.6-1.2]\'','\'(-inf-2.7]\'','\'(-inf-27.2]\'','\'(-inf-18.6]\'','\'(-inf-436.1]\'','\'(-inf-27]\'','\'(-inf-5.3]\'','\'(-inf-8.6]\'','\'(1.8-inf)\'','\'(-inf-105.6]\'','\'(-inf-0.1]\'','\'(-inf-0.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'','\'(-inf-0.3]\'','\'(-inf-1.4]\'','\'(-inf-13.866667]\'','\'(-inf-2.9]\'','\'(0.65-1.3]\'',N
'\'(-inf-9.4]\'','\'(5.4-inf)\'','\'(-inf-2.7]\'','\'(-inf-27.2]\'','\'(-inf-18.6]\'','\'(-inf-436.1]\'','\'(-inf-27]\'','\'(-inf-5.3]\'','\'(-inf-8.6]\'','\'(-inf-0.2]\'','\'(-inf-105.6]\'','\'(0.9-inf)\'','\'(-inf-0.9]\'','\'(0.9-inf)\'','\'(0.6-0.7]\'','\'(-inf-0.3]\'','\'(-inf-1.4]\'','\'(-inf-13.866667]\'','\'(-inf-2.9]\'','\'(-inf-0.65]\'',N
'\'(-inf-9.4]\'','\'(1.8-2.4]\'','\'(-inf-2.7]\'','\'(-inf-27.2]\'','\'(18.6-37.2]\'','\'(-inf-436.1]\'','\'(-inf-27]\'','\'(-inf-5.3]\'','\'(-inf-8.6]\'','\'(-inf-0.2]\'','\'(-inf-105.6]\'','\'(0.9-inf)\'','\'(-inf-0.9]\'','\'(0.8-0.9]\'','\'(0.5-0.6]\'','\'(-inf-0.3]\'','\'(-inf-1.4]\'','\'(13.866667-27.733333]\'','\'(-inf-2.9]\'','\'(0.65-1.3]\'',Y
'\'(9.4-18.8]\'','\'(1.8-2.4]\'','\'(-inf-2.7]\'','\'(-inf-27.2]\'','\'(18.6-37.2]\'','\'(-inf-436.1]\'','\'(-inf-27]\'','\'(-inf-5.3]\'','\'(8.6-17.2]\'','\'(0.6-0.8]\'','\'(105.6-211.2]\'','\'(0.9-inf)\'','\'(-inf-0.9]\'','\'(0.8-0.9]\'','\'(0.3-0.4]\'','\'(0.9-1.2]\'','\'(2.8-4.2]\'','\'(-inf-13.866667]\'','\'(-inf-2.9]\'','\'(0.65-1.3]\'',Y
'\'(9.4-18.8]\'','\'(0.6-1.2]\'','\'(-inf-2.7]\'','\'(-inf-27.2]\'','\'(18.6-37.2]\'','\'(-inf-436.1]\'','\'(-inf-27]\'','\'(-inf-5.3]\'','\'(8.6-17.2]\'','\'(1.8-inf)\'','\'(-inf-105.6]\'','\'(-inf-0.1]\'','\'(-inf-0.9]\'','\'(-inf-0.1]\'','\'(0.2-0.3]\'','\'(-inf-0.3]\'','\'(-inf-1.4]\'','\'(-inf-13.866667]\'','\'(-inf-2.9]\'','\'(0.65-1.3]\'',Y
'\'(-inf-9.4]\'','\'(3.6-4.2]\'','\'(-inf-2.7]\'','\'(-inf-27.2]\'','\'(-inf-18.6]\'','\'(-inf-436.1]\'','\'(-inf-27]\'','\'(-inf-5.3]\'','\'(-inf-8.6]\'','\'(0.4-0.6]\'','\'(105.6-211.2]\'','\'(0.9-inf)\'','\'(0.9-1.8]\'','\'(0.8-0.9]\'','\'(0.5-0.6]\'','\'(-inf-0.3]\'','\'(-inf-1.4]\'','\'(13.866667-27.733333]\'','\'(2.9-5.8]\'','\'(1.95-2.6]\'',N
'\'(-inf-9.4]\'','\'(5.4-inf)\'','\'(-inf-2.7]\'','\'(-inf-27.2]\'','\'(-inf-18.6]\'','\'(-inf-436.1]\'','\'(-inf-27]\'','\'(-inf-5.3]\'','\'(-inf-8.6]\'','\'(0.6-0.8]\'','\'(-inf-105.6]\'','\'(0.9-inf)\'','\'(-inf-0.9]\'','\'(0.7-0.8]\'','\'(0.4-0.5]\'','\'(-inf-0.3]\'','\'(-inf-1.4]\'','\'(-inf-13.866667]\'','\'(2.9-5.8]\'','\'(0.65-1.3]\'',N
'\'(9.4-18.8]\'','\'(2.4-3]\'','\'(-inf-2.7]\'','\'(-inf-27.2]\'','\'(18.6-37.2]\'','\'(-inf-436.1]\'','\'(-inf-27]\'','\'(15.9-21.2]\'','\'(8.6-17.2]\'','\'(0.6-0.8]\'','\'(105.6-211.2]\'','\'(0.9-inf)\'','\'(1.8-2.7]\'','\'(0.6-0.7]\'','\'(0.1-0.2]\'','\'(0.9-1.2]\'','\'(-inf-1.4]\'','\'(-inf-13.866667]\'','\'(-inf-2.9]\'','\'(0.65-1.3]\'',N
